Title,URL,Stars,Description,Category
Speech,https://github.com/netixc/speech-mcp,0,McpSpeech MCP Project,Client
Speelka,https://github.com/korchasa/speelka-agent,0,AgentUniversal LLM Agent based on MCP,Client
D,https://github.com/mario-andreschak/FLUJO,0,"ISCLAIMERMCP-Hub and -Inspector, Multi-Model Workflow and Chat Interface",Client
Team,https://github.com/TeamSparkAI/teamspark-workbench,0,Spark AI WorkbenchTeamSpark AI Workbench,Client
Jira,https://github.com/pawankumar94/Jira_mcp_streamlit,0,"Assistant with MCP IntegrationA Streamlit-powered Jira assistant with MCP integration. Create, search, and manage Jira tickets through a clean tabbed interface using natural language commands or direct forms. Built with Python and MCP framework.",Client
Scira,https://github.com/zaidmukaddam/scira-mcp-chat,0,Mcp ChatA minimalistic MCP client with a good feature set.,Client
Lang,https://github.com/i2y/langchaingo-mcp-adapter,0,ChainGo MCP AdapterA Go adapter that bridges LangChain Go tools with Model Context Protocol (MCP) servers.,Client
M,https://github.com/cgoinglove/mcp-client-chatbot,0,CP Client Chatbot🚀 Open source MCP Client: A Multi-provider AI Chatbot Solution,Client
mcp-chatbot,https://github.com/mctrinh/mcp-chatbot,0,MCP Chatbot powered by Anthropic Claude. Delivering on‐demand literature search and summarisation for academics and engineers,Client
M,https://github.com/HiCoderMonkey/agents-mcp-cloud,0,CP Agents CloudMCP Agents Cloud是一个提供管理MCP服务器和代理（Agent）的平台。,Client
Utility,https://github.com/richardanaya/UtilityBelt,0,BeltTalk to MCP servers from aider,Client
mcp-gomamayo,https://github.com/mizakaHK/mcp-gomamayo,0,MCP server for ”ゴママヨ”,Client
M,https://github.com/justinhuang0208/launchbar-mcp_agent,0,"CP AgentThis is a LaunchBar version of Raycast's AI extension function, which is integrated with Langchain and MCP to automatically complete tasks based on your prompt.",Client
M,https://github.com/paulrobello/mcp_langgraph_tools,0,CP Tool Langgraph IntegrationMCP Tools Langraph Integration,Client
Llama,https://github.com/Nikunj2003/LLaMa-MCP-Streamlit,0,"MCP StreamlitAI assistant built with Streamlit, NVIDIA NIM (LLaMa 3.3:70B) / Ollama, and Model Control Protocol (MCP).",Client
Lang,https://github.com/langchain-ai/langchainjs-mcp-adapters,0,Chain.js MCP Adapters** THIS REPO HAS MOVED TO,Client
M,https://github.com/hideya/mcp-client-langchain-ts,0,CP Client Using LangChain / TypeScriptSimple CLI MCP Client Implementation Using LangChain ReAct Agent / TypeScript,Client
Flask,https://github.com/Fbeunder/MCP_FLASK,0,Webapplicatie met LLM-integratie en MCP-toolsFlask webapplicatie met LLM-integratie en MCP-tools voor het verwerken van prompts via verschillende AI-modellen en contextuele tools.,Client
Browser,https://github.com/wimpywarlord/mcp-react-dev-tools,0,Tools MCPMCP for React Dev Tools - Use directly inside cursor,Client
Figma,https://github.com/aranyak-4002/figma-design-mcp,0,Design AutomationAutomated Figma design creation tools and plugins,Client
Llama-,https://github.com/extopico/llama-server_mcp_proxy,0,Server MCP ProxySimple node proxy for llama-server that enables MCP use,Client
Tome -,https://github.com/runebookai/tome,0,Magical AI Spellbooka magical desktop app that puts the power of LLMs and MCP in the hands of everyone,Client
Witsy,https://github.com/nbonamy/witsy,0,Witsy: desktop AI assistant / universal MCP client,Client
Web,https://github.com/m-mcp/web-search,0,Search MCP 服务器使用智普清言实现的web-search mcp服务,Client
M,https://github.com/jiasyuanchu/mcp-chat-bot,0,CP Chat Bot (Golang Version)A simple chat bot using MCP (Model Context Protocol),Client
Things,https://github.com/ThingsPanel/thingspanel-mcp,0,"Panel MCPThis MCP server integrates ThingsPanel IoT platform with AI models like Claude, GPT, and others that support the Model Context Protocol.",Client
Getting,https://github.com/yeakub108/mcp-client,0,Started🤖 AI Agent,Client
otermthe terminal client for,https://github.com/ggozad/oterm,0,Ollama,Client
M,https://github.com/GeLi2001/mcp-terminal,0,CP Terminalrun and use mcp servers in your terminal,Client
M,https://github.com/machaojin1917939763/mcp-ui,0,CP 聊天应用基于MCP(Model Context Protocol)的智能聊天应用，支持Web和桌面环境。集成OpenAI/Anthropic API，提供MCP服务器的所有工具能力。简洁现代的UI设计，支持跨平台部署。,Client
M,https://github.com/justjoehere/mcp_gradio_client,0,CP Gradio Client Proof of ConceptThis is a proof of concept repo on how to create a gradio UI using the Model Context Protocol Client Python SDK.,Client
aterm2,https://github.com/runekaagaard/aterm2,0,A simple command line LLM chat agent with MCP support,Client
Openmcp,https://github.com/LSTM-Kirigaya/openmcp-client,0,ClientA MCP Client for MCP/OpenMCP,Client
M,https://github.com/shane-kercheval/mcp-client-agent,0,CP-AgentCLI that uses DSPy to interact with MCP servers.,Client
Kopilot,https://github.com/KokoiRuby/Kopilot-MCP,0,MCPA MCP client/server to interact with Kubernetes resources using natural language.,Client
M,https://github.com/crayon3shawn/mcp-cli-manager,0,CP CLI ManagerMCP CLI Manager - 一個用於管理多個服務器的命令行工具,Client
I,https://github.com/ellieli0630/langgraph-mcp-agent-twitter,0,"P Asset Creation Agent with LangGraphA LangGraph-based agent for creating, minting, registering IP assets with Story Protocol, and automatically posting about them on Twitter.",Client
Info,https://github.com/DenizAkansoy/MCPHack,0,Sys Cambridge Hackathon: Multi-Agent Fact-Checking for Social MediaMCP Hackathon Repository,Client
Amazon,https://github.com/aws/amazon-q-developer-cli,0,Q Developer Cli✨ Agentic chat experience in your terminal. Build applications using natural language.,Client
License,https://github.com/k3d3/firefox_mcpbridge,0,Firefox Claude MCP extension,Client
Google,https://github.com/l145dev/Google-Maps-MCP-Speech,0,Maps MCP with Speech InputGoogle Maps MCP web application with speech to text functionality.,Client
M,https://github.com/hideya/langchain-mcp-tools-ts-usage,0,CP Tools Usage From LangChain / Example in TypeScriptMCP Tools Usage From LangChain ReAct Agent / Example in TypeScript,Client
M,https://github.com/slavashvets/mcp-http-client-example,0,CP HTTP Client ExampleSimple example client demonstrating how to connect to MCP servers over HTTP (SSE),Client
Turbo,https://github.com/techspawn/Turbo-MCP-Client,0,MCP ClientA FastAPI-based application that provides a web interface for interacting with Multiple Control Protocol (MCP) servers while utilizing OpenAI's API for processing messages.,Client
ha-xiaozhi-mcphomeassistant mcpserver的临时中转方案,https://github.com/c1pher-cn/ha-xiaozhi-mcp,0,,Client
G,https://github.com/GH05TCREW/ghostcrew,0,"HOSTCREWAll-in-one offensive security toolbox with AI agent and MCP architecture. Integrates tools like Nmap, Metasploit, FFUF, SQLMap. Enables pentesting, bug bounty hunting, threat hunting, and reporting. RAG-based responses with local knowledge base support.",Client
Q,https://github.com/qu3ai/qu3-app,0,U3 - Quantum-Safe MCP ClientQuantum-proof MCP Server and Client Interactions,Client
Dify,https://github.com/junjiem/dify-plugin-agent-mcp_sse,0,Plugin Agent Mcp_sseDify 1.0 Plugin Support MCP Tools Agent strategies,Client
M,https://github.com/shaharia-lab/mcp-frontend,0,CP (Model Context Protocol) FrontendFrontend for MCP (Model Context Protocol) Kit for Go - A Complete MCP solutions for ready to use,Client
Coding,https://github.com/buyitsydney/CodingBaby-Browser-MCP,0,Baby-Browser-MCPMCP Server allowing AI agents to control Google Chrome via the CodingBaby Extension,Client
S,https://github.com/sidharthrajaram/mcp-sse,0,SE-based Server and Client forA working pattern for SSE-based MCP clients and servers,Client
Mcp,https://github.com/shaoyingchen/mcp-client-llm,0,"Client LlmSupports large models that access any API type, and provides an example of opening a local application",Client
M,https://github.com/bigmb/mb_mcp,0,B_MCP (Model Context Protocol)mb MCP files,Client
mcp_ha_xiaozhi小智官方服务器(虾哥)对接home assistant的mcp server,https://github.com/shawn996/mcp_ha_xiaozhi,0,,Client
I,https://github.com/fernandezpablo85/mcpiol,0,OL MCP ToolMCP for the IOL public API,Client
Simple,https://github.com/hideya/mcp-client-langchain-py,0,CLI MCP Client Using LangChain / PythonSimple CLI MCP Client Implementation Using LangChain ReAct Agent / Python,Client
Win,https://github.com/Robert-GitHubUserName/WinFormsApp-MCP,0,"FormsApp-MCPWinFormsApp-MCP Windows Forms application demonstrating Semantic Kernel with Model Context Protocol (MCP). Provides tool functionality for GitHub, GitLab, and filesystem operations. Works with ChatGPT models. API key required.",Client
Luna:,https://github.com/rosiefaulkner/langgraph-voice-agent,0,"Voice-Enabled Expense Management AgentConvert user audio messages into text and convert text responses from the agent back to audio (text-to-speech) to play to the user. The AI voice agent is an expense manager with access to an MCP server with tools that allow CRUD (create, read, update, delete) operations on a database that tracks expenses.",Client
Ty,https://github.com/AstraBert/TySVA,0,SVA - TypeScript Voice Assistant🪄Learn TypeScript chatting effortlessly with AI,Client
M,https://github.com/TimeCyber Ltd/mcp-x,0,MCP-XThis is an MCP client that allows you to easily configure various large models and develop interfaces with various MCP servers. 这是一个MCP客户端，让你轻松配置各个大模型，对接各种MCP Server而开发。,Client
Warp,https://mcp.so/client/warp,0,Warp is the fastest way to build with multiple AI agents—from writing code to shipping it. The best overall coding and terminal agent.,Client
U,https://github.com/bytedance/UI-TARS-desktop,0,I-TARS DesktopA GUI Agent application based on UI-TARS(Vision-Language Model) that allows you to control your computer using natural language.,Client
Z,https://github.com/Andrew Sky/zentrun---build-your-ai-team-with-vibe-coding-&-mcps,0,"ENTRUN - Automation AI Agents Built with Vibe Coding & MCPsBuild and automate your own AI team. Just like building a website with vibe coding, build your AI team the same way. Automation, analytics, execution — your custom AI agents handle it all for you.  Zentrun lets you vibe-code real, executable AI agents. With a single sentence, you create actions that run, remember, analyze, and evolve — powered by MCP and designed for automation at scale.",Client
S,https://github.com/Snoopy AI/snoopy-mcp-ai,0,"SNOOPY-MCP-AIExplore the new era of memes with AI, where fun and AI come together",Client
上市公司财报数据精灵上市公司财报数据精灵,https://github.com/深圳市原点参数信息技术有限公司/上市公司财报数据精灵,0,MCP Server提供全场景的上市公司财务数据服务。由深圳市原点参数信息技术有限公司开发。,Client
C,https://github.com/Razertory/chatframe-desktop,0,CHATFRAME-DESKTOPLLM & MCP desktop for AI models,Client
🌟,https://github.com/pathintegral-institute/mcpm.sh,0,MCPM - Model Context Protocol ManagerCLI MCP package manager & registry for all platforms and all clients. Search & configure MCP servers. Advanced Router & Profile features.,Client
protolint,https://github.com/yoheimuta/protolint,0,A pluggable linter and fixer to enforce Protocol Buffer style and conventions.,Client
Mcphub.nvim,https://github.com/ravitemer/mcphub.nvim,0,A powerful Neovim plugin for managing MCP (Model Context Protocol) servers,Client
M,https://github.com/keta1930/mcp-agent-graph,0,"CP Agent Graph (MAG)MCP Agent Graph (MAG) is an agent development framework for rapidly building agent systems. This project is based on graphs, nodes, and MCP to quickly construct complex Agent systems.",Client
Ghost,https://github.com/MauroStyleman/KAFRMA-Backend,0,"Hunting AI - ServiceWe build an interactive city tour with RAG,LLM,MCP for KdG -The Lab. This is the backend",Client
Lang,https://github.com/vrknetha/langchainjs-mcp-adapters,0,"Chain.js MCP AdaptersAdapters for integrating Model Context Protocol (MCP) tools with LangChain.js applications, supporting both stdio and SSE transports.",Client
Copilot,https://github.com/VikashLoomba/copilot-mcp,0,"MCP Search for VSCodeA powerful VSCode extension that enables MCP server usage in Copilot, giving it access to MCP tools, resources, and more.",Client
M,https://github.com/techspawn/MCP-TurboClient,0,CP TurboClientA FastAPI-based application that provides a web interface for interacting with Multiple Control Protocol (MCP) servers while utilizing OpenAI's API for processing messages.,Client
eechat,https://github.com/eechat/eechat,0,"An open-source, cross-platform desktop application that seamlessly connects with full support for MCP, across Linux, macOS, and Windows.",Client
A,https://github.com/xark-argo/Argo,0,"RGO - Local AIDesktop AI Agent builder supports for local/remote LLMs, RAG, MCP",Client
Repomix📦,https://github.com/yamadashy/repomix,0,"Repomix (formerly Repopack) is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more.",Client
🚀,https://github.com/quazaai/UnityMCPIntegration,0,Advacned Unity MCP IntegrationEnable AI Agents to Control Unity,Client
A,https://github.com/aingdesk/AingDesk,0,"INGDESKAingDesk是一款简单好用的AI助手，支持知识库、模型API、分享、联网搜索、智能体，它还在飞快成长中。 AingDesk is a simple and easy-to-use AI assistant that supports knowledge bases, model APIs, sharing, internet search, and intelligent agents. It is still growing rapidly.",Client
